Customer_ID,Customer_Name,Email,Phone,Address,District,City,Postal,Region,Date_of_Birth,Gender,Status,Created_At
CUST_8cd2,Chaiwut Pasuk,eboonpungbaramee@hotmail.com,09-5000-2929,672 Tunradee Turnpike,Sujjaboriboonchester,Phenphitchaton,36273,Western,2005-11-25,Female,Single,2024-08-06
CUST_2df5,Kamolchanok Bunlupong,jitrinprachayaroch@yahoo.com,09-4441-9805,99451 Pitipat Overpass Apt. 452,Noppakaoside,Kongchayasukawutburgh,42110,Central,2000-06-02,Male,Single,2025-11-21
CUST_239e,Nutwadee Polauaypon,pianduangsrijaruwan@hotmail.com,09-5810-8166,357 Turongkinanon Extension,Port Phenphitcha,Benchapatranonshire,59801,Northern,2005-08-24,Male,Married,2024-11-28
CUST_a311,Jaruwan Pothanun,thanatchatrikasemmart@gmail.com,08-1460-3382,791 Pawan Summit Suite 266,Nutkritaton,Phubeschester,81771,Northern,2004-06-14,Male,Single,2023-03-23
CUST_9781,CPL Atit Kitprapa,supasita59@hotmail.com,06-3505-2396,7737 Chowitunkit Courts Apt. 411,Port Chayapat,Chayaninview,89080,Western,1983-03-16,Male,Single,2023-05-10
CUST_5f55,PVT Chaifah Losatapornpipit,darin40@gmail.com,09-6090-3307,55337 Jaruwan Viaduct,Todsawunshire,Lake Kunapornton,40371,Central,2000-02-27,Female,Other,2024-06-13
CUST_9255,Darin Kamalanon,iprachayaroch@hotmail.com,09-2733-6081,687 Supasit Mission Suite 928,Lake Niracha,Vinyuvanichkulfurt,03395,Central,2000-02-26,Male,Widowed,2024-05-11
CUST_41c4,Niracha Bunlerngsri,rkrittayanukoon@gmail.com,08-3658-0646,6866 Phubes Forest,West Chalisa,West Yanisa,01555,Northern,1986-09-28,Male,Widowed,2025-03-11
CUST_b8ec,WG CDR Pattamon Chowitunkit,sittikornpongpanitch@yahoo.com,06-3385-5925,8378 Wassaya Greens Suite 705,South Pintusornfurt,Kamalanonchester,33230,Northern,2001-08-22,Male,Single,2025-03-28
CUST_c0f3,Tunchanok Pitanuwat,pturongkinanon@yahoo.com,08-4574-7987,07405 Kamalanon Prairie Apt. 704,Prachayarochfurt,Port Chawinmouth,46208,Central,2005-02-01,Other,Other,2022-07-26
CUST_6100,AM Ratchanon Tungkasethakul,pakcharoensuksopol@hotmail.com,06-3035-6238,7737 Wimolnot Squares,West Pannawich,Pikatsingkornborough,46433,Central,2001-07-18,Other,Divorced,2022-04-26
CUST_d037,Pakjira Charoensuksopol,kkamalanon@yahoo.com,08-9110-8441,6510 Lertsattayanusak Forges Suite 627,East Parin,Thanatchabury,58081,Central,2001-12-20,Other,Widowed,2025-03-19
CUST_3eff,Darin Pianduangsri,suvakit47@gmail.com,06-8585-5359,529 Pornchanok Mountain,Pattatompornhaven,West Yanisashire,99123,Central,1999-10-07,Female,Other,2025-01-26
CUST_fcde,Patcharaporn Prayoonhong,jaruwan80@hotmail.com,09-1620-4281,7274 Sorattanachai Mills,Port Jinjuta,Chaihirankarnport,56666,Northeast,2000-01-07,Male,Married,2025-09-05
