Customer_ID,Customer_Name,Email,Phone,Address,Distinct,City,Postal,Region,Date_of_Birth,Gender,Status,Created_At
CUST_8cd2,Chaiwut Pasuk,eboonpungbaramee@hotmail.com,09-5000-2929,672 Tunradee Turnpike,Sujjaboriboonchester,Phenphitchaton,36273,Western,2005-11-25,Female,Single,2026-04-08
CUST_9821,Ratchanon Kumsoontorn,yprachayaroch@hotmail.com,09-4441-9805,99451 Pitipat Overpass Apt. 452,Noppakaoside,Kongchayasukawutburgh,42110,Southern,2000-02-19,Other,Divorced,2025-01-05
CUST_8c6a,Nutwadee Polauaypon,pianduangsrijaruwan@hotmail.com,06-5810-8166,357 Turongkinanon Extension,Port Phenphitcha,Benchapatranonshire,59801,Central,2003-03-28,Male,Other,2025-02-04
CUST_2f6a,Pachongruk Siripaiboo,ybunlerngsri@gmail.com,09-4603-3825,136 Boonpungbaramee Lights Suite 410,Phubeschester,New Chalisaside,84318,Central,2004-12-14,Male,Widowed,2026-03-26
CUST_493d,MAJ GEN Pachongruk Youprasert,methavorakulapisara@gmail.com,09-9646-7737,1041 Atit Walk Suite 574,South Prames,South Nutchashire,39862,Central,1999-03-26,Other,Widowed,2025-02-10
CUST_f2f7,Pattapon Kamalanon,noppakaochaisatit@yahoo.com,08-1255-3379,44903 Phubes Hills,Prachayarochland,South Patchaployberg,67515,Northeast,2007-01-09,Male,Married,2025-03-26
CUST_6d55,Peem Matinawin,yada87@hotmail.com,06-9067-7928,276 Kamalanon Prairie,Nirachaton,Krittayanukoonbury,82572,Northern,1994-10-05,Other,Widowed,2026-05-01
CUST_5598,Kodchaporn Trikasemmart,phenphitcha26@yahoo.com,08-8662-4334,257 Nattawun Inlet Suite 281,Polauayponborough,New Pada,46795,Central,1992-05-10,Male,Divorced,2025-11-14
CUST_8274,POL SUB LT Pak Titipatrayunyong,wassayatodsapornpitakul@hotmail.com,06-9670-5916,660 Tungkasethakul Crossroad,Sorattanachaiport,Turongkinanonbury,54149,Central,1990-01-12,Other,Widowed,2025-12-04
CUST_765b,Pitipat Chaihirankarn,prima07@hotmail.com,09-4055-1937,6068 Chawin Junction,Todsawunberg,Choeychuenbury,90679,Central,2002-05-11,Male,Single,2025-11-23
